encourage: 星集め差分の和にも挑戦したのですが分かりませんでした。	ナイスチャレンジです。
encourage: 特に差分の和で入力する数(N)が毎回違うのが難しかったです。	焦らず頑張りましょう。
encourage: 簡単ではありませんでした。	プログラミングは難しいですよね。
encourage: 割と忘れていたことも多かったので難しく感じました。	人間は忘れる生き物です。復習を繰り返しましょう。
encourage: 思っていたよりも1年でpythonの知識を忘れていて焦りました。	復習すればきっと思い出せます。
encourage: ただその次の差の和の問題が難しいです。	難しいですよね。一度頭を休めてみてはいかがですか？
encourage: どのようにアプローチすればよいか思いつきません。	相談してヒントをもらうことも時には大切です。
encourage: 情報コースに進みたいと思っているほぼ決めているのですがプログラミングが正直得意な方ではありません。	最初から得意な人ばかりではないですよ。安心してください。
encourage: 事前アンケートで「ネットのPythonの問は出来る」人が多いという事を聞いてとても焦っています。	あなたはあなたの良さがあります。
encourage: 演習問題は差分の和で詰まってしまい悲しかったです。	時には休むことも大切ですよ。
encourage: また慣れないアプリでの授業というのと春休みで全く触れなかったせいもありだいぶ苦労しています。	少しづつ慣れていきましょう。
encourage: 本日のブレイクアウトルームも他の先生では行わない交流の機会を設けてくださりうれしいのですが友人が一人もおらずちきって入れませんでした。	みんなきっと優しいですよ。応援しています。
encourage: 全く解けなかったです。	最初は難しいですよね。あなたのペースで学びましょう。
encourage: 適当なブレイクアウトルームに入りましたが知っている子がいなくて他の子達は知り合いっぽくてついていけなかったので相談などはできませんでした。	これをきっかけに仲良くなってみてはいかがでしょう。きっとみんなあなたの味方です。
encourage: 友達がほぼいないのでブレイクアウトルームが結構しんどいです。	これをきっかけに友達を作ってみてはいかがでしょう。きっとみんなあなたの味方です。
encourage: ブレイクアウトルームで話しかけるのもかなり勇気がいるのでつらいです。	最初は勇気がいりますよね。応援しています。
encourage: 先生の話が早くて全くついていけませんでした。	全て完璧でなくても大丈夫ですよ。後から振り返ることもできます。
encourage: なかなか最初は難しいです。	みんな最初は同じです。あなたのペースで。
encourage: Colaboratoryを初めて使ったのでどこに入力しどう実行すればいいのか分からず戸惑いました。	初めてのことはわからないですよね。でも初めての経験って面白いですよ！
encourage: 思った以上にプログラミングのことを忘れていて少し苦労しました。	ゆっくり復習をしながら進めていってください！
encourage: Atcordの演習問題はCircleの問題でつまずきそこで心折れました。	そんな時は、一旦昔の問題に取り組んでみてはいかがですか？
encourage: ちなみにその次の直方体でもつまずきさらに心折れました。	大丈夫ですよ、ゆっくり考えてみましょう。
encourage: でもできないので今は嫌いです。	ゆっくり取り組んでいけば、できるようになりますよ。
encourage: 私はA+取りたいので頑張って問題解こうと思ったのですが一問解くのに時間がかかりすぎてすでにお先真っ暗です。	大丈夫ですよ、解いていくことでだんだん速くなりますよ。
encourage: AtCorderが少し難しかったです。	ゆっくり取り組んでみてください。
encourage: 1年のプログラミングの授業をオンラインだったのもあり途中からわからなくなったのを放置していたので全くわからない状態です。	そんな時は、一旦前に戻って復習していきましょう。
encourage: 久しぶりにプログラミングをしたので最初は感覚や文法が思い出せずに苦戦してしまいました。	ゆっくり思い出していきましょう！
encourage: 差分の和の問題から難しく感じました。	差分の和は難しいので、また復習してみてください。
encourage: 出遅れている感があり焦っています。	大丈夫ですよ、焦らず自分のペースで進めていきましょう。
encourage: 1年のプログラミング実習の成績が悪くまた理解力が遅いためなかなかついていくことができなかったので少し不安です。	大丈夫ですよ、ゆっくり取り組んで行きましょう。
encourage: これだ!と思って打ち込み結果にREが出てくるとやっぱりへこみますね...(涙)	そういう時もあります。諦めずに頑張っていきましょう。
encourage: ランタイムエラーが何回か出てしまって困りました。	そういう時は、ゆっくりプログラムを確認しましょう。
encourage: 今週はいろいろ予定がたまりすぎて進みませんでした。	大丈夫ですよ、自分のペースで進めていきましょう。
encourage: エラーになったときの原因が分からないともやもやします。	そういう時は、落ち着いて見直しをしてみましょう。
encourage: (Sx,Sy)からx軸までの直線の傾きの符号を逆にするとx軸から(Gx,Gy)までの直線の傾きになるので方程式を立てて解きましたが方程式を立てて変形するのに時間がかかってしまいました。	大丈夫ですよ、だんだん速くなっていきますよ。
encourage: その週ごとに進めていけばいいと思っていましたが友人はかなり進んでいたので不安です。	大丈夫ですよ、焦らず自分のペースで進めていきましょう。
encourage: プログラムをやっているとこれでできたか?と思ってもエラーになってしまってなかなか苦戦しています。	そういう時は、ゆっくり見直しをしてみましょう。
encourage: 差分の和とカエルの問題が難しいです。	難しい問題は、細かく分けて考えてみてはいかがですか？
