encourage: [|チャレンジ問題にも]挑戦したのですが分かりません[|でした]。	ナイスチャレンジです。
encourage: 特にチャレンジ問題が難し[い|かった[|です]]。	焦らず頑張りましょう。
encourage: 簡単ではありません[|でした]。	まだ難しくもないよね。
encourage: 割と忘れていたことも多かった[|ので難しく感じ[|まし]た]。	ブランクを埋めていこう。
encourage: [|思った以上に]プログラミングのことを忘れていて少し苦労しました。	ブランクを埋めていこう。
encourage: 思っていたよりも[1|2|前の]年の知識を忘れてい[|た]。	復習しましょ。
encourage: ただ、その次の問題が難しいです。	難しいですよね。一度頭を休めてみてはいかがですか？
encourage: どのようにアプローチすればよいか[...|思いつきません。]	相談してヒントをもらうことも時には大切です。
encourage: 情報コースに進みたい[|と思っている]。	最初から得意な人ばかりではないですよ。安心してください。
encourage: [|でも]プログラミングが正直得意な方ではありません。	最初から得意な人ばかりではないですよ。安心してください。
encourage: [|事前アンケートで「ネットのPythonの問は出来る」]人が多いという事を聞いてとても焦っています。	あなたはあなたの良さがあります。
encourage: 演習問題はチャレンジ問題で詰まってしまい悲しかった[|です]。	時には休むことも大切ですよ。
encourage: また慣れないアプリで[だいぶ|]苦労しています。	少しづつ慣れていきましょう。
encourage: 春休みで全く触れなかったせいもあり[だいぶ|]苦労しています。	少しづつ慣れていきましょう。
encourage: [|本日の]ブレイクアウトルームも友人が一人もおらずちきって入れません[|でした]。	みんなきっと優しいですよ。応援しています。
encourage: 全く解けなかったです。	最初は難しいですよね。あなたのペースで学びましょう。
encourage: 知っている子がいなくて[|他の子達は知り合いっぽくて]相談などはできませんでした。	これをきっかけに仲良くなってみてはいかがでしょう。きっとみんなあなたの味方です。
encourage: 友達がほぼいないのでブレイクアウトルームが結構しんどい[|です]。	これをきっかけに友達を作ってみてはいかがでしょう。きっとみんなあなたの味方です。
encourage: ブレイクアウトルームで話しかけるのもかなり勇気がいるのでつらいです。	最初は勇気がいりますよね。応援しています。
encourage: 先生の話が早くて全くついていけません[|でした]。	全て完璧でなくても大丈夫ですよ。後から振り返ることもできます。
encourage: なかなか最初は難しいです。	最後はもっと難しいかもよ。
encourage: [Colaboratoryを|]初めて使ったので戸惑いました。	初めてのことはわからないですよね。でも初めての経験って面白いですよ！
encourage: 問題でつまずきそこで心折れました。	そんな時は、一旦昔の問題に取り組んでみてはいかがですか？
encourage: ちなみにその次の問題でもつまずきさらに心折れました。	大丈夫ですよ、ゆっくり考えてみましょう。
