trans: グラフを[描画する|[使う|[使用する|用いる]]]	import matplotlib.pyplot as plt	trans: グラフを描画する	_	(SyntaxError('invalid syntax', ('<string>', 1, 1, 'import matplotlib.pyplot as plt')), '_')
trans: [綺麗な|キレイな]グラフを[描画する|[使う|[使用する|用いる]]]	import seaborn as sns	trans: 綺麗なグラフを描画する	_	(SyntaxError('invalid syntax', ('<string>', 1, 1, 'import seaborn as sns')), '_')
trans: グラフを[綺麗|キレイ]にする	import seaborn as sns	trans: グラフを綺麗にする	_	(SyntaxError('invalid syntax', ('<string>', 1, 1, 'import seaborn as sns')), '_')
trans: {グラフ[|の[中|内]]で|日本語[|フォント]を}[表示[できる|可能な]|使える]ようにする	sns.set(font='IPAexGothic')	trans: グラフで日本語を使えるようにする	sns=missing;_	('set', {'font': 'IPAexGothic'})
trans: グラフ[|の[中|内]]の[日本語フォント|日本語表示]を[有効にする|利用可能にする]	sns.set(font='IPAexGothic')	trans: グラフの日本語フォントを有効にする	sns=missing;_	('set', {'font': 'IPAexGothic'})
trans: [グラフ[|の[中|内]]の|]フォントを[日本語表示|日本語][に設定する|[に|と]する|にセットする|に変更する|変える]	sns.set(font='IPAexGothic')	trans: グラフのフォントを日本語表示に設定する	sns=missing;_	('set', {'font': 'IPAexGothic'})
trans: [グラフ[|の[中|内]]の|]文字化けを防ぐ	sns.set(font='IPAexGothic')	trans: グラフの文字化けを防ぐ	sns=missing;_	('set', {'font': 'IPAexGothic'})
trans: [グラフ[|の[中|内]]の|][タイトル|題名|名前]を文字列s[に設定する|[に|と]する|にセットする|に変更する|変える]	plt.title(s)	trans: グラフのタイトルを文字列sに設定する	plt=missing;_	('title', ' ABC abc 123あ')
trans: [描画する|表示する|出力する|]グラフの[サイズ|大きさ]を[横n縦n2|縦n2横n|n×n2][に設定する|[に|と]する|にセットする|に変更する|変える]	plt.figure(figsize=(n, n2))	trans: 描画するグラフのサイズを横n縦n2に設定する	plt=missing;_	('figure', {'figsize': (1, 3)})
trans: [グラフ[|の[中|内]]の|][横軸|x軸|x座標]の[軸ラベル|ラベル|ラベル|名[前|称]|軸名|説明]を文字列s[に設定する|[に|と]する|にセットする|に変更する|変える]	plt.xlabel(s)	trans: グラフの横軸の軸ラベルを文字列sに設定する	plt=missing;_	('xlabel', ' ABC abc 123あ')
trans: [グラフ[|の[中|内]]の|][横軸|x軸|x座標]に文字列sという[軸ラベル|ラベル|ラベル|名[前|称]|軸名|説明]を[付ける|つける|設定する]]	plt.xlabel(s)	trans: グラフの横軸に文字列sという軸ラベルを付ける	plt=missing;_	('xlabel', ' ABC abc 123あ')
trans: [グラフ[|の[中|内]]の|][縦軸|y軸|y座標]の[軸ラベル|ラベル|ラベル|名[前|称]|軸名|説明]を文字列s[に設定する|[に|と]する|にセットする|に変更する|変える]	plt.ylabel(s)	trans: グラフの縦軸の軸ラベルを文字列sに設定する	plt=missing;_	('ylabel', ' ABC abc 123あ')
trans: [グラフ[|の[中|内]]の|][縦軸|y軸|y座標]に文字列sという[軸ラベル|ラベル|ラベル|名[前|称]|軸名|説明]を[付ける|つける|設定する]	plt.ylabel(s)	trans: グラフの縦軸に文字列sという軸ラベルを付ける	plt=missing;_	('ylabel', ' ABC abc 123あ')
trans: {グラフに|[[グリッド|[グリッド|目盛り|メモリ]線|格子|格子線]]を}[入れる|付ける|加える|描画する|表示する]	plt.grid(True)	trans: グラフにを入れる	plt=missing;_	('grid', True)
trans: {[グラフ[|の[中|内]]に|]|[凡例|凡例|データラベル|補足]を}[入れる|付ける|加える|描画する|表示する]	plt.legend()	trans: グラフに凡例を入れる	plt=missing;_	('legend',)
trans: {[グラフ[|の[中|内]]に]|[凡例|凡例|データラベル|補足]を|文字列sと文字列s2と}[入れる|付ける|加える|描画する|表示する]	plt.legend([s, s2])	trans: 文字列sと文字列s2と凡例をグラフに入れる	plt=missing;_	('legend', [' ABC abc 123あ', 'a'])
trans: {[グラフ[|の[中|内]]に|]|[凡例|凡例|データラベル|補足]を|(x, x2)の[位置|場所]に}[入れる|付ける|加える|描画する|表示する]	plt.legend(loc=(x, x2))	trans: グラフに(x, x2)の位置に凡例を入れる	plt=missing;_	('legend', {'loc': (1.5, 3.0)})
trans: {グラフ中の(x, x2)の[位置|場所]に|[凡例|凡例|データラベル|補足]を|}[入れる|付ける|加える|描画する|表示する]	plt.legend(loc=(x, x2))	trans: グラフ中の(x, x2)の場所に凡例を入れる	plt=missing;_	('legend', {'loc': (1.5, 3.0)})
trans: {[最適な|ベストな|最も適切な|グラフに被らない][位置|場所]に|[凡例|凡例|データラベル|補足]を}[入れる|付ける|加える|描画する|表示する]	plt.legend(loc='best')	trans: 最適な位置に凡例を入れる	plt=missing;_	('legend', {'loc': 'best'})
trans: {[グラフ[|の[中|内]]に|]|枠なしの[凡例|凡例|データラベル|補足]を}[入れる|付ける|加える|描画する|表示する]	plt.legend(frameon=False)	trans: グラフに枠なしの補足を入れる	plt=missing;_	('legend', {'frameon': False})
trans: [折れ線グラフ|線グラフ|グラフ|[ライン|線]]を[プロットする|描く|描画する]	plt.plot(X, Y)	trans: 折れ線グラフをプロットする	plt=missing;X=Y=alist;_	('plot', [1, 2, 3], [1, 2, 3])
trans: XとYの[折れ線グラフ|線グラフ|グラフ|[ライン|線]]を[プロットする|描く|描画する]	plt.plot(X, Y)	trans: XとYの折れ線グラフをプロットする	plt=missing;X=Y=alist;_	('plot', [1, 2, 3], [1, 2, 3])
trans: XとYを[折れ線グラフ|線グラフ|グラフ|[ライン|線]][で|に][プロットする|描く|描画する]	plt.plot(X, Y)	trans: XとYを折れ線グラフでプロットする	plt=missing;X=Y=alist;_	('plot', [1, 2, 3], [1, 2, 3])
trans: Xを[縦軸|y軸|y座標][、|]Yを[横軸|x軸|x座標][と指定して|[と|に]して|[と|に]設定して][、|][折れ線グラフ|線グラフ|グラフ|[ライン|線]]を[プロットする|描く|描画する]	plt.plot(X, Y)	trans: Xを縦軸、Yを横軸と指定して、折れ線グラフをプロットする	plt=missing;X=Y=alist;_	('plot', [1, 2, 3], [1, 2, 3])
