translate: x2をxとする	x = x2	translate: x2をxとする	_;x	3.0
translate: x2をx[に[代入|]する|とする]	x = x2	translate: x2をxに代入する	_;x	3.0
translate: x2をx[に設定する|に変更する|に[セット|指定]する|にする]	x = x2	translate: x2をxに設定する	_;x	3.0
translate: xはx2である	x = x2	translate: xはx2である	_;x	3.0
translate: xとx2[の値|]を[スワップする|入れ替える]	x, x2 = x2, x	translate: xとx2の値をスワップする	_;x	3.0
translate: xとx2の両方ともnとする	x = x2 = n	translate: xとx2の両方ともnとする	_;x	1
translate: xとx2の両方にnを代入する	x = x2 = n	translate: xとx2の両方にnを代入する	_;x	1
translate: xとx2の両方をn[に設定する|に変更する|に[セット|指定]する|にする]	x = x2 = n	translate: xとx2の両方をnに設定する	_;x	1
translate: xとx2をそれぞれnとn2とする	x, x2 = n, n2	translate: xとx2をそれぞれnとn2とする	_;x	1
translate: それぞれnとn2をxとx2[に[代入|]する|とする]	x, x2 = n, n2	translate: それぞれnとn2をxとx2に代入する	_;x	1
translate: xとx2をそれぞれnとn2[に設定する|に変更する|に[セット|指定]する|にする]	x, x2 = n, n2	translate: xとx2をそれぞれnとn2に設定する	_;x	1
translate: x, x2, x3をそれぞれn, n2, n3とする	x, x2, x3 = n, n2, n3	translate: x, x2, x3をそれぞれn, n2, n3とする	_;x	1
translate: x, x2, x3にそれぞれn, n2, n3を代入する	x, x2, x3 = n, n2, n3	translate: x, x2, x3にそれぞれn, n2, n3を代入する	_;x	1
translate: x, x2, x3をそれぞれn, n2, n3[に設定する|に変更する|に[セット|指定]する|にする]	x, x2, x3 = n, n2, n3	translate: x, x2, x3をそれぞれn, n2, n3に変更する	_;x	1
translate: xの絶対値	abs(x)	translate: xの絶対値	_	1.5
translate: xを[論理値|ブール値]に[変換|]する	bool(x)	translate: xを論理値に変換する	_	True
translate: xが真[か[|どうか][調べる||[確認|判定|テスト]する]|]	bool(x)	translate: xが真か確認する	_	True
translate: x, x2の複素数[|を[求める|計算する|算出する]]	complex(x, x2)	translate: x, x2の複素数	_	(1.5+3j)
translate: xとx2の商と余りをペアで得る	divmod(x, x2)	translate: xとx2の商と余りをペアで得る	_	(0.0, 1.5)
translate: xを浮動小数点数に[変換|]する	float(x)	translate: xを浮動小数点数に変換する	_	1.5
translate: xを整数に[変換|]する	int(x)	translate: xを整数にする	_	1
translate: xを印字できる文字列にする	ascii(x)	translate: xを印字できる文字列にする	_	1.5
translate: xの印字可能な文字列	ascii(x)	translate: xの印字可能な文字列	_	1.5
translate: xの絶対値[|を[計算する|求める]]	abs(x)	translate: xの絶対値	_	1.5
translate: xの複素数[|を[計算する|求める]]	complex(x)	translate: xの複素数	_	(1.5+0j)
translate: xとx2から[成る|なる]複素数[|を[計算する|求める]]	complex(x, x2)	translate: xとx2から成る複素数	_	(1.5+3j)
translate: xを実部[、|]x2を虚部とした複素数[|を[計算する|求める]]	complex(x, x2)	translate: xを実部、x2を虚部とした複素数	_	(1.5+3j)
translate: 商と余りを同時に[計算する|求める]	divmod(x, x2)	translate: 商と余りを同時に計算する	_	(0.0, 1.5)
translate: xのハッシュ値[|を[計算する|求める]]	hash(x)	translate: xのハッシュ値	_	1152921504606846977
translate: xのx2乗[|を[計算する|求める]]	pow(x, x2)	translate: xのx2乗	_	3.375
translate: xのx2乗のx3剰余[|を[計算する|求める]]	pow(x, x2, x3)	translate: xのx2乗のx3剰余	_	(TypeError('pow() 3rd argument not allowed unless all arguments are integers'), '_')
translate: xのx2乗してx3による余り[|を[計算する|求める]]	pow(x, x2, x3)	translate: xのx2乗してx3による余り	_	(TypeError('pow() 3rd argument not allowed unless all arguments are integers'), '_')
translate: xの小数点[以下]を[丸める|四捨五入する]	round(x)	translate: xの小数点以下を丸める	_	2
translate: xを[の|を]小数点[以下]第一位で[丸める|四捨五入する]	round(x, 1)	translate: xをの小数点以下第一位で丸める	_	1.5
translate: x[の|を]小数点[以下]第n位で[丸める|四捨五入する]	round(x, n)	translate: xの小数点以下第n位で丸める	_	1.5
translate: x[の|を]十の位で[丸める|四捨五入する]	round(x, -1)	translate: xの十の位で丸める	_	0.0
translate: x[の|を]百の位で[丸める|四捨五入する]	round(x, -2)	translate: xの百の位で丸める	_	0.0
translate: x[の|を]千の位で[丸める|四捨五入する]	round(x, -3)	translate: xの千の位で丸める	_	0.0
translate: x[、|]x2[、|]x3の[|中で|うち][最大値|[最も大きい値|最大の値|一番小さい値]][|を[求める|[計算する|求める]|算出する]]	max(x, x2, x3)	translate: x、x2、x3の最大値	_	3.0
translate: x[、|]x2[、|]x3の[|中で|うち][最小値|[最も小さい値|最小の値|一番小さい値]][|を[求める|[計算する|求める]|算出する]]	min(x, x2, x3)	translate: x、x2、x3の最小値	_	0.19
translate: xを[浮動小数点数型|浮動小数点数|実数]に[変換|]する	float(x)	translate: xを浮動小数点数型に変換する	_	1.5
translate: xを[整数型|整数]に[変換|]する	int(x)	translate: xを整数型に変換する	_	1
translate: xを[文字列型|文字列]に[変換|]する	str(x)	translate: xを文字列型に変換する	_	1.5
translate: nかつn2	n and n2	translate: nかつn2	_	3
translate: nまたはn2	n or n2	translate: nまたはn2	_	1
translate: nではない	not n	translate: nではない	_	False
translate: 真	True	translate: 真	_	True
translate: 偽	False	translate: 偽	_	False
translate: 未定値	None	translate: 未定値	_	None
translate: [コレクション|[両端キュー|[双方向キュー|デック]|[キュー|スタック]|deque[|オブジェクト]]|カウンタ|[名前付きタプル|[構造体|簡易クラス]]]を[使う|[使用する|用いる]]	import collections	translate: 両端キューを使う	_;type(collections)	<class 'module'>
translate: {[空の|][両端キュー|[双方向キュー|デック]|[キュー|スタック]|deque[|オブジェクト]]を|[新しく|新たに|]}[[作る|作成する]|[|新規]生成する|[用意|準備]する]	collections.deque()	translate: 空のキューを新しく作る	_	deque([])
translate: {[[リスト|タプル|配列]|列|イテラブル|]iterableから|[両端キュー|[双方向キュー|デック]|[キュー|スタック]|deque[|オブジェクト]]を|[新しく|新たに|]}[[作る|作成する]|[|新規]生成する|[用意|準備]する]	collections.deque(iterable)	translate: リストiterableから両端キューを新しく作る	_	deque([0, 1, 2, 4])
translate: [[リスト|タプル|配列]|列|イテラブル|]iterableを[両端キュー|[双方向キュー|デック]|[キュー|スタック]|deque[|オブジェクト]]に[変換|]する	collections.deque(iterable)	translate: リストiterableを両端キューに変換する	_	deque([0, 1, 2, 4])
translate: {[最大長|上限[|長||制限された長さ]]をnに[|制限]して|[両端キュー|[双方向キュー|デック]|[キュー|スタック]|deque[|オブジェクト]]を|[新しく|新たに|]}[[作る|作成する]|[|新規]生成する|[用意|準備]する]	collections.deque(maxlen=n)	translate: 最大長をnにして両端キューを新しく作る	_	deque([], maxlen=1)
translate: {[最大長|上限[|長||制限された長さ]]nの[両端キュー|[双方向キュー|デック]|[キュー|スタック]|deque[|オブジェクト]]を|[新しく|新たに|]}[[作る|作成する]|[|新規]生成する|[用意|準備]する]	collections.deque(maxlen=n)	translate: 最大長nの両端キューを新しく作る	_	deque([], maxlen=1)
translate: {[最大長|上限[|長||制限された長さ]]をnに[|制限]して|[[リスト|タプル|配列]|列|イテラブル|]iterableから|[両端キュー|[双方向キュー|デック]|[キュー|スタック]|deque[|オブジェクト]]を|[|[新しく|新たに|]]}[[作る|作成する]|[|新規]生成する|[用意|準備]する]	collections.deque(iterable, maxlen=n)	translate: 最大長をnにしてリストiterableから両端キューを作る	_	deque([4], maxlen=1)
translate: {[最大長|上限[|長||制限された長さ]]nの[両端キュー|[双方向キュー|デック]|[キュー|スタック]|deque[|オブジェクト]]を|[[リスト|タプル|配列]|列|イテラブル|]iterableから|[|[新しく|新たに|]]}[[作る|作成する]|[|新規]生成する|[用意|準備]する]	collections.deque(iterable, maxlen=n)	translate: リストiterableから最大長nの両端キューを準備する	_	deque([4], maxlen=1)
translate: [[リスト|タプル|配列]|列|イテラブル|]iterableの[テイルフィルタ|tailフィルタ]を[[作る|作成する]|[|新規]生成する|[用意|準備]する]	collections.deque(iterable, maxlen=n)	translate: リストiterableのテイルフィルタを作る	_	deque([4], maxlen=1)
translate: {[空の|][両端キュー|[双方向キュー|デック]|[キュー|スタック]|deque[|オブジェクト]]を|[新しく|新たに|]}[[作って|作成して]|[|新規]生成して|[用意|準備]して][、|]X[に[代入|]する|とする]	X = collections.deque()	translate: 新しく空の両端キューを作って、Xに代入する	_;X	deque([])
