dic: プログラミング	コンピュータに意図した動作を行わせるために処理手順を作成すること
dic: コーディング	プログラミング言語に従って、コンピュータが処理・解釈できるコードを書くこと
dic: 仕様書	ソフトウェアやサービスなどを開発する前に、機能やその性能、満たすべき要件など記述した文書のこと
dic: アルゴリズム	ある特定の問題を解く手順を計算や操作の組み合わせとして明確に書いたもの
dic: 機械語	コンピュータのマイクロプロセッサ（CPU）が直接解釈・実行できる命令コードのこと
dic: オペコード	マイクロプロセッサ（CPU/MPU）に与える機械語の命令の識別番号のこと
dic: オペランド	数式を構成する要素のうち、演算の対象となる値や変数のこと
dic: 演算子	数学やプログラミングなどで式を記述する際に用いられる、演算内容を表す記号などのこと
dic: 単項演算子	一つの項を用いる演算子のこと
dic: 二項演算子	二つの項を用いる演算子のこと
dic: 三項演算子	条件式の真偽に応じて二つの値のいずれかを返す条件演算子のこと
dic: 算術演算子	四則演算を行う演算子のこと
dic: 論理演算子	論理演算を表す記号や符号などのこと。
dic: XOR	排他的論理和のこと
dic: 排他的論理和	二つの命題のいずれか一方のみが真のときに真となり、両方真や両方偽のときは偽となる論理演算
dic: 論理否定	与えられた命題が真のときに偽となり、偽のとき真となる論理演算
dic: 論理和	二つの命題のいずれか一方あるいは両方が真のときに真となり、いずれも偽のときに偽となる論理演算
dic: 論理積	二つの命題のいずれも真のときに真となり、それ以外のときは偽となる論理演算
dic: 真理値	ある命題が真（True）であるか、偽(False）であるかを示す値のこと。
dic: 真偽値	ある命題が真（True）であるか、偽(False）であるかを示す値のこと。
dic: ブール値	ある命題が真（True）であるか、偽(False）であるかを示す値のこと。
dic: ビット演算	整数を2進数のビット列とみなして、ビットの移動やビット単位の論理演算などを行うもの。
dic: インクリメント	数値を増やす操作のこと
dic: デクリメント	数値を減らす操作のこと
dic: 定数	ある特定の数値やデータに名前を与えたもの。変更はできない。
dic: 変数	データを一時的に記憶しておくための領域に固有の名前を付けたもの。
dic: スコープ	プログラム中で変数名を参照できる範囲のこと。
dic: グローバル変数	プログラム中のどこのコードからでも参照できる変数のこと。バグの元と言われる。
dic: ローカル変数	宣言された関数やメソッドなどの内部からしか参照できない変数のこと。
dic: 関数	数学の関数を模したサブルーチンで引数に対し処理し、結果を返すもの。
dic: サブルーチン	特定の機能や処理をひとまとまりにした小プログラムで、他のプログラムから呼び出して実行できるもの
dic: 戻り値	関数やメソッドが処理を終えるときに、呼び出し元に対して渡すデータのこと。return文から返される。
dic: 返り値	関数やメソッドが処理を終えるときに、呼び出し元に対して渡すデータのこと。return文から返される。
dic: ビルトイン関数	あらかじめ用意された関数のこと。
dic: ユーザ定義関数	ユーザが定義した関数のこと。
dic: 標準ライブラリ関数	ビルトイン関数ではないが、標準的に提供されるユーザ定義関数のこと。
dic: 入出力	入力と出力のこと。I/Oとも。
dic: 浮動小数点数	コンピュータにおける数値の表現形式の一つで、小数点以下の値を含む数値の表現法として最も広く利用されている。
dic: 単精度浮動小数点数	32ビット長の浮動小数点数を格納できる数値のこと。floatとも。
dic: 倍精度浮動小数点数	64ビット長の浮動小数点数を格納できる数値のこと。doubleとも。
dic: 文字列	文字を並べたデータのこと。
dic: データ	何かを文字や符号、数値などのまとまりとして表現したもの。
dic: データ構造	データの集まりをプログラムで扱いやすいようにまとめたもの。
dic: タプル	順序付けられた複数の要素で構成されるデータ構造のこと。数学に由来。
dic: 配列	複数のデータを連続的に並べたデータ構造のこと。効率が良い。
dic: 多次元配列	配列の要素に配列が入った入れ子状の配列のこと。
dic: 二次元配列	
dic: 動的配列	配列の長さが固定的されておらず、実行時に要素を追加、削除できる配列のこと。
dic: 可変長配列	配列の長さが固定的されておらず、実行時に要素を追加、削除できる配列のこと。
dic: 添字	配列に格納された個々の要素の位置を示す値のこと。数列の添字に由来。インデックスとも。
dic: インデックス	配列に格納された個々の要素の位置を示す値のこと。数列の添字に由来。
dic: イテレータ	配列のようなデータ構造の要素を順に走査していく繰り返し処理を簡潔に記述できるオブジェクトのこと。
