trans: [|]x2を[|]xとする	x = x2	trans: x2をxとする	$$;x	3.0
trans: [|]x2を[|]x[に[代入|]する|とする]	x = x2	trans: x2をxに代入する	$$;x	3.0
trans: [|]x2を[|]x[に設定する|に変更する|に[セット|指定]する|にする]	x = x2	trans: x2をxに設定する	$$;x	3.0
trans: [|]xは[|]x2である	x = x2	trans: xはx2である	$$;x	3.0
trans: [|]xと[|]x2[の値|]を[スワップする|入れ替える]	x, x2 = x2, x	trans: xとx2の値をスワップする	$$;x	3.0
trans: [|]xと[|]x2の両方とも[|]nとする	x = x2 = n	trans: xとx2の両方ともnとする	$$;x	1
trans: [|]xと[|]x2の両方に[|]nを代入する	x = x2 = n	trans: xとx2の両方にnを代入する	$$;x	1
trans: [|]xと[|]x2の両方を[|]n[に設定する|に変更する|に[セット|指定]する|にする]	x = x2 = n	trans: xとx2の両方をnに設定する	$$;x	1
trans: [|]xと[|]x2をそれぞれ[|]nと[|]n2とする	x, x2 = n, n2	trans: xとx2をそれぞれnとn2とする	$$;x	1
trans: それぞれ[|]nと[|]n2を[|]xと[|]x2[に[代入|]する|とする]	x, x2 = n, n2	trans: それぞれnとn2をxとx2に代入する	$$;x	1
trans: [|]xと[|]x2をそれぞれ[|]nと[|]n2[に設定する|に変更する|に[セット|指定]する|にする]	x, x2 = n, n2	trans: xとx2をそれぞれnとn2に設定する	$$;x	1
trans: [|]x, [|]x2, [|]x3をそれぞれ[|]n, [|]n2, [|]n3とする	x, x2, x3 = n, n2, n3	trans: x, x2, x3をそれぞれn, n2, n3とする	$$;x	1
trans: [|]x, [|]x2, [|]x3にそれぞれ[|]n, [|]n2, [|]n3を代入する	x, x2, x3 = n, n2, n3	trans: x, x2, x3にそれぞれn, n2, n3を代入する	$$;x	1
trans: [|]x, [|]x2, [|]x3をそれぞれ[|]n, [|]n2, [|]n3[に設定する|に変更する|に[セット|指定]する|にする]	x, x2, x3 = n, n2, n3	trans: x, x2, x3をそれぞれn, n2, n3にセットする	$$;x	1
trans: [|]xの絶対値	abs(x)	trans: xの絶対値	$$	1.5
trans: [|]xを[論理値|ブール値]に[変換|]する	bool(x)	trans: xを論理値に変換する	$$	True
trans: [|]xが真[か[|どうか][調べる||[確認|判定|テスト]する]|]	bool(x)	trans: xが真か調べる	$$	True
trans: [|]x, [|]x2の複素数[|を[求める|計算する|算出する]]	complex(x, x2)	trans: x, x2の複素数	$$	(1.5+3j)
trans: [|]xと[|]x2の商と余りをペアで[使う|見る|求める]	divmod(x, x2)	trans: xとx2の商と余りをペアで使う	$$	(0.0, 1.5)
trans: [|]xを浮動小数点数に[変換|]する	float(x)	trans: xを浮動小数点数に変換する	$$	1.5
trans: [|]xを整数に[変換|]する	int(x)	trans: xを整数に変換する	$$	1
trans: [|]xを印字できる文字列にする	ascii(x)	trans: xを印字できる文字列にする	$$	1.5
trans: [|]xの印字可能な文字列	ascii(x)	trans: xの印字可能な文字列	$$	1.5
trans: [|]xの絶対値[|を[計算する|求める]]	abs(x)	trans: xの絶対値	$$	1.5
trans: [|]xの複素数[|を[計算する|求める]]	complex(x)	trans: xの複素数を計算する	$$	(1.5+0j)
trans: [|]xと[|]x2から[成る|なる]複素数[|を[計算する|求める]]	complex(x, x2)	trans: xとx2から成る複素数	$$	(1.5+3j)
trans: [|]xを実部[、|][|]x2を虚部とした複素数[|を[計算する|求める]]	complex(x, x2)	trans: xを実部、x2を虚部とした複素数	$$	(1.5+3j)
trans: 商と余りを同時に[計算する|求める]	divmod(x, x2)	trans: 商と余りを同時に計算する	$$	(0.0, 1.5)
trans: [|]xのハッシュ値[|を[計算する|求める]]	hash(x)	trans: xのハッシュ値	$$	1152921504606846977
trans: [|]xの[|]x2乗[|を[計算する|求める]]	pow(x, x2)	trans: xのx2乗を計算する	$$	3.375
trans: [|]xの[|]x2乗の[|]x3剰余[|を[計算する|求める]]	pow(x, x2, x3)	trans: xのx2乗のx3剰余	$$	[31mpow() 3rd argument not allowed unless all arguments are integers[0m
