ナイスチャレンジです。	encourage: 星集め差分の和にも挑戦したのですが分かりませんでした。
焦らず頑張りましょう。	encourage: 特に差分の和で入力する数(N)が毎回違うのが難しかったです。
プログラミングは難しいですよね。	encourage: 簡単ではありませんでした。
人間は忘れる生き物です。復習を繰り返しましょう。	encourage: 割と忘れていたことも多かったので難しく感じました。
復習すればきっと思い出せます。	encourage: 思っていたよりも1年でpythonの知識を忘れていて焦りました。
難しいですよね。一度頭を休めてみてはいかがですか？	encourage: ただその次の差の和の問題が難しいです。
相談してヒントをもらうことも時には大切です。	encourage: どのようにアプローチすればよいか思いつきません。
最初から得意な人ばかりではないですよ。安心してください。	encourage: 情報コースに進みたいと思っているほぼ決めているのですがプログラミングが正直得意な方ではありません。
あなたはあなたの良さがあります。	encourage: 事前アンケートで「ネットのPythonの問は出来る」人が多いという事を聞いてとても焦っています。
時には休むことも大切ですよ。	encourage: 演習問題は差分の和で詰まってしまい悲しかったです。
少しづつ慣れていきましょう。	encourage: また慣れないアプリでの授業というのと春休みで全く触れなかったせいもありだいぶ苦労しています。
みんなきっと優しいですよ。応援しています。	encourage: 本日のブレイクアウトルームも他の先生では行わない交流の機会を設けてくださりうれしいのですが友人が一人もおらずちきって入れませんでした。
最初は難しいですよね。あなたのペースで学びましょう。	encourage: 全く解けなかったです。
これをきっかけに仲良くなってみてはいかがでしょう。きっとみんなあなたの味方です。	encourage: 適当なブレイクアウトルームに入りましたが知っている子がいなくて他の子達は知り合いっぽくてついていけなかったので相談などはできませんでした。
これをきっかけに友達を作ってみてはいかがでしょう。きっとみんなあなたの味方です。	encourage: 友達がほぼいないのでブレイクアウトルームが結構しんどいです。
最初は勇気がいりますよね。応援しています。	encourage: ブレイクアウトルームで話しかけるのもかなり勇気がいるのでつらいです。
全て完璧でなくても大丈夫ですよ。後から振り返ることもできます。	encourage: 先生の話が早くて全くついていけませんでした。
みんな最初は同じです。あなたのペースで。	encourage: なかなか最初は難しいです。
初めてのことはわからないですよね。でも初めての経験って面白いですよ！	encourage: Colaboratoryを初めて使ったのでどこに入力しどう実行すればいいのか分からず戸惑いました。
ゆっくり復習をしながら進めていってください！	encourage: 思った以上にプログラミングのことを忘れていて少し苦労しました。
そんな時は、一旦昔の問題に取り組んでみてはいかがですか？	encourage: Atcordの演習問題はCircleの問題でつまずきそこで心折れました。
大丈夫ですよ、ゆっくり考えてみましょう。	encourage: ちなみにその次の直方体でもつまずきさらに心折れました。
ゆっくり取り組んでいけば、できるようになりますよ。	encourage: でもできないので今は嫌いです。
大丈夫ですよ、解いていくことでだんだん速くなりますよ。	encourage: 私はA+取りたいので頑張って問題解こうと思ったのですが一問解くのに時間がかかりすぎてすでにお先真っ暗です。
ゆっくり取り組んでみてください。	encourage: AtCorderが少し難しかったです。
そんな時は、一旦前に戻って復習していきましょう。	encourage: 1年のプログラミングの授業をオンラインだったのもあり途中からわからなくなったのを放置していたので全くわからない状態です。
ゆっくり思い出していきましょう！	encourage: 久しぶりにプログラミングをしたので最初は感覚や文法が思い出せずに苦戦してしまいました。
差分の和は難しいので、また復習してみてください。	encourage: 差分の和の問題から難しく感じました。
大丈夫ですよ、焦らず自分のペースで進めていきましょう。	encourage: 出遅れている感があり焦っています。
大丈夫ですよ、ゆっくり取り組んで行きましょう。	encourage: 1年のプログラミング実習の成績が悪くまた理解力が遅いためなかなかついていくことができなかったので少し不安です。
そういう時もあります。諦めずに頑張っていきましょう。	encourage: これだ!と思って打ち込み結果にREが出てくるとやっぱりへこみますね...(涙)
そういう時は、ゆっくりプログラムを確認しましょう。	encourage: ランタイムエラーが何回か出てしまって困りました。
大丈夫ですよ、自分のペースで進めていきましょう。	encourage: 今週はいろいろ予定がたまりすぎて進みませんでした。
そういう時は、落ち着いて見直しをしてみましょう。	encourage: エラーになったときの原因が分からないともやもやします。
大丈夫ですよ、だんだん速くなっていきますよ。	encourage: (Sx,Sy)からx軸までの直線の傾きの符号を逆にするとx軸から(Gx,Gy)までの直線の傾きになるので方程式を立てて解きましたが方程式を立てて変形するのに時間がかかってしまいました。
大丈夫ですよ、焦らず自分のペースで進めていきましょう。	encourage: その週ごとに進めていけばいいと思っていましたが友人はかなり進んでいたので不安です。
そういう時は、ゆっくり見直しをしてみましょう。	encourage: プログラムをやっているとこれでできたか?と思ってもエラーになってしまってなかなか苦戦しています。
難しい問題は、細かく分けて考えてみてはいかがですか？	encourage: 差分の和とカエルの問題が難しいです。
大丈夫ですよ、自分のペースで進めていきましょう。	encourage: 全くついていけないです。
わからない部分は、声をかけてくださいね。	encourage: 去年は一人でプログラミングの授業を受けていたので不安だらけでした。
そういう時は、細かく分けながら考えてみてください。	encourage: ビリヤードと秒針の問題はプログラミングがどうこう以前に数学力が試され中高で習った数学の知識を過去に置いてきた私にはかなりの苦戦を強いられました。
大丈夫ですよ、解いていけば速くなっていきますよ。	encourage: 少しずつ慣れてきたいですPythonがすごく苦手で問題を解くスピードがかなり遅いのですが大丈夫でしょうか。
そういう時は、先生に声をかけてみてください。	encourage: AtCoderの課題リストの反映がたまにおかしい時があるのできちんと先生にも反映されているか心配になることがあります。
大丈夫ですよ、自分のペースで進めていくことが大切です。	encourage: また自分の進め方が正しいのかなど不安になります。
そういう時は、一旦他のことに取り組むのはいかがですか？	encourage: アップルパイとディスカウントをやって心折れました。
そういう時は、細かく分けて考えてみてはいかがですか？	encourage: 何回もやり直しても正解にならないので大変だった。
そういう時は、先生に聞いてみてくださいね。	encourage: 課題の78にある文字列の問題について3桁の整数をリストにして考えてみたのですがエラーになってしまいわかりませんでした。
