終電を逃した	タクシーに乗るチャンス
見たかったドラマを見逃した	再放送あるよ
エアコンを消し忘れた	電気代がえぐいね
宿題忘れた	たまには休憩も必要だよ
チケット売り切れてた	ライヴビューイングや配信を待とう。
チケット忘れた	係の人に正直に話そう
食材買い忘れた	でもその食材が欠けていても美味しいでしょ？
寝過ごした	それだけ疲れていたんだよ
犬が脱走した	追いかけよう！！
魚を逃した	逃した魚は大きいぞ！
終電を逃した	迎えに行ってあげるよ
見たかったドラマを見逃した	別の面白いドラマ見よう
エアコンを消し忘れた	そんなときもあるよ
課題を提出し忘れた	とりあえず出しておこう
ライブのチケット抽選申し込み忘れた	きっと当日券があるよ
話を聞き逃した	もう一回聞きに行こう
終電を逃した	そんな日もあるよ！
見たかったドラマを見逃した	見逃し配信で見れるよ！
エアコンを消し忘れた	家帰ったら涼しいね！(暖かいね)
教科書忘れた	友達に見せてもらおう！
出席忘れた	まだ落単じゃないよ！
終電を逃した	Let's 野宿！非日常を味わっちゃおう！
見たかったドラマを見逃した	サブスクを利用すればいつだって見れるよ！アマプラが安くておすすめ！
エアコンを消し忘れた	エアコン消さないほうが電力安かったりするんだよ？知ってた？
説明会に出忘れた	人生何とかなるさ！説明会に取り組んでいる君は頑張っている！
提出物だし忘れた	提出物忘れ一回？余裕だね！
逃した	何を逃したんだい？そんなの人生の微々たるミスや。
忘れた	何を忘れたんだい？人間忘れる生き物さ。
終電を逃した	次、気をつければいいじゃない!
見たかったドラマを見逃した	Tverで見ればいいじゃない!
エアコンを消し忘れた	帰ってきたor起きた時にベストな温度になっているよ！
電車に乗り遅れた	乗り換えでダッシュすればきっと間に合うよ！
友達との待ち合わせに遅刻した	謝ったら、許してくれるよ!
課題を出し忘れた	これから出し忘れないようにすればOK!
チケットの販売期間が終わっていた	これからきちんとチェックして忘れないようにすればOK!
チケットの抽選期間が終わっていた	きっと運が溜まっているよ！
スマホ忘れた	スマホがなくてもなんとかなるよ！
ダブルブッキングをした	きっと、なんとか調整できるよ！
ゴキブリを仕留め損ねた	もしかしたら家の外に行ったかもよ
お財布忘れた	サザエさんも忘れてたからそんなに落ち込まないで!
終電を逃した	タクシーがあるよ
見たかったドラマを見逃した	見逃し配信があるよ
エアコンを消し忘れた	帰ったら快適だね
連絡をし忘れた	今すぐしよう
薬を飲み忘れた	すぐのもう
忘れ物をした	取りに帰る？
財布を忘れた	なんとかなるよ
約束を忘れた	そういうときもある
録画してない	親に連絡しよ
定期忘れた	ドンマイ
電車乗り過ごした	あるあるだわ
レポート出し忘れた	次がんばろ
スマホ忘れた	まあ、なんとかなる
やばい課題	教えてあげるよ
終電を逃した	友達のいえにお泊まりして楽しもう！
見たかったドラマを見逃した	Tverで観れるから大丈夫！
エアコンを消し忘れた	1日くらいそんなに電気代かからないから大丈夫！
電気をつけっぱなしにした	次気をつければいいんだよ
傘を持って行こうと思っていたら忘れて雨になった	隣にいる人の傘に入ってしまおう
課題を出し忘れた	教授を説得して再提出させてもらう
バイトあるのに制服忘れた	バイトの友達に貸してくれないか聞いてみよう
バイトの時間を1時間間違えた	1時間早く入れてもらっちゃおう！
家を出たら財布を忘れた	今日は一日ヒモになろう
ESの期限間違えた	違う企業でも似てるような会社あるはずだよ！
欲しいものを買えなかった	他の店に買いに行こう！
告白するタイミングを逃した	まだタイミングはこれから来るはず！
洗濯物を取り込み忘れた	今から取り込んでも遅くない
終電を逃した	お疲れ様！タクシー呼ぼ
見たかったドラマを見逃した	動画配信サービスで配信されてるかもよ！
エアコンを消し忘れた	この反省を次に活かそう！
電車逃した	たまにはゆっくりでもいいんじゃない？
ドラマ見逃した	見逃し配信をチェック！
財布忘れた	愉快なサザエさん♪
鍵しめ忘れた	きっと大丈夫
Suica忘れた	切符チャレンジ！
終電逃した	あちゃー
終電を逃した	うち泊まる？
見たかったドラマを見逃した	Tverで再放送されてるかな？
エアコンを消し忘れた	家に帰ったら時天国じゃん
提出出来なかった	それは、ちゃんと確認しよ
ご飯食べるタイミング逃した！	早く寝て朝早く食べよ！
お財布忘れた	今日は奢ってあげよう
猫にごはんあげるの忘れた	今すぐ帰ってあげな
犯人を逃した	早く見つけて捕まえよう！
終電を逃した	サイゼ行こうか
見たかったドラマを見逃した	きっとdailymotionにあるよ
エアコンを消し忘れた	帰ったとき涼しくていいね
ボールペンを忘れた	貸すよ
実験実習費の納入が間に合わなかった	締め切り過ぎてても大丈夫だよ
洗濯物を取り込み忘れた	明日でいいよ
トイレにスマホを忘れた	まだあるといいね
終電を逃した	朝まで遊ぼう
見たかったドラマを見逃した	配信で見よう
エアコンを消し忘れた	タイマー付けよう
提出忘れた	遅れてもいいから提出しよう
連絡するの忘れた	謝罪連絡しよう
課題を提出し忘れた	ヤバそうなら先生に相談しよう
お弁当忘れた	一緒に買いに行こう
教科書忘れた	見せてあげる
ドラマ見逃した	再放送あるといいね
欲しかったグッズ売り切れてた	残念だね、、再販待とう
部屋の電気消さずに家でちゃった	あるある
傘を忘れちゃった	止まないかなぁ
美容室の予約時間過ぎてた	連絡すれば大丈夫
終電を逃した	上司がタクシー代出してくれるよ
見たかったドラマを見逃した	サブスクに上がっているよ
エアコンを消し忘れた	帰った時に部屋が快適な温度になっているよ
スマホ忘れた	スマホないときついよねー
講義動画見忘れた	1回くらいなら大丈夫だよ
予定すっぽかした	後で謝ろう
ログインし忘れた	忘れちゃうこともあるよね
終電を逃した	俺っち泊まっていく？
見たかったドラマを見逃した	きっと再放送してくれるよ。
エアコンを消し忘れた	帰ってすぐでもちょうどいい温度だね
スマホを忘れた	電気代が浮く
デート忘れてた	次に挽回しな
テスト忘れてた	何とかなるさ
終電を逃した	そんな日もあるさ
見たかったドラマを見逃した	見逃し配信やってるよ！
エアコンを消し忘れた	電気代が・・・！
終電を逃した	今日はお疲れ様でした。
見たかったドラマを見逃した	サブスクリプション
エアコンを消し忘れた	家に帰ったら涼しいね！！
課題を提出し忘れた	課題をやったのね！！えらい！！
シフト提出し忘れた	今月はゆっくりできるね
誕生日プレゼント買い忘れた	気が付くことが大切
充電し忘れた	短期集中できるね
傘忘れた	その分荷物軽いね
バイトあること忘れた	社会人だと遅刻は許されないから、今のうちだよ！
授業休講のこと知らずに学校来ちゃった	良い運動だ！
終電を逃した	タクシーを探そうか？
見たかったドラマを見逃した	再放送を待とう
エアコンを消し忘れた	次回気を付ければいいよ
課題を出し忘れた	大丈夫だよ
録画忘れた	YouTubeとかで見られるよ
家にスマホ忘れた	なくてもなんとかなる
伝言を伝え忘れた	伝えに行かなきゃ
何をするのか忘れた	よくあることだね
電車に乗り遅れた	そんな日もある
実験レポートを忘れた	そんな時もあるよ
相手の名前を忘れてしまった	よくあるよね
話しかけるチャンス逃した	またチャンスあるよ
家の鍵忘れた	よくあるね
テキスト忘れた	そんな日もある
終電を逃した	大丈夫？タクシーとかで帰れそう？
見たかったドラマを見逃した	それはつらい、見逃し配信さがすの手伝うよ
エアコンを消し忘れた	どんまい、次から気をつけよ！
お風呂のボタン押し忘れた	あー！私もたまにやるやつ！
バスが目の前で行っちゃった	仕方ない、気長に次の待とう！
買い忘れしちゃった	忘れないよう今度はメモしよう！
ゲームのログイン忘れた	それめっちゃ悔しいよね
